City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,hudiksvall,61.729,17.1036,-8.41,89,51,2.33,SE,1675453609
215,sarai sidhu,30.5949,71.9698,15.22,30,0,1.58,PK,1675453609
216,necochea,-38.5473,-58.7368,22.62,51,0,6.41,AR,1675453609
217,longyearbyen,78.2186,15.6401,-14.09,66,20,3.09,SJ,1675453610
218,half moon bay,37.4636,-122.4286,12.9,92,100,3.09,US,1675453570
219,skibbereen,51.55,-9.2667,10.62,88,100,6.99,IE,1675453610
220,anse-bertrand,16.4721,-61.5078,27.19,100,6,8.21,GP,1675453611
221,dedougou,12.4667,-3.4667,28.18,12,6,3.58,BF,1675453611
222,namwala,-15.7504,26.4384,19.76,95,100,1.53,ZM,1675453611
223,verkhoyansk,67.5447,133.385,-35.37,99,100,1.03,RU,1675453612
224,mayskiy,47.6931,40.1025,-0.33,98,100,5.07,RU,1675453612
225,luwuk,-0.9516,122.7875,25.5,76,100,1.5,ID,1675453612
226,inhambane,-23.865,35.3833,25.99,78,20,4.63,MZ,1675453613
227,yaan,7.3833,8.5667,31.14,16,58,0.56,NG,1675453613
228,deogarh,21.5333,84.7333,14.35,17,78,1.7,IN,1675453613
229,saskylakh,71.9167,114.0833,-40.67,100,73,1.88,RU,1675453614
230,bell ville,-32.6259,-62.6887,28.78,51,58,4.56,AR,1675453614
231,evensk,61.95,159.2333,-17.71,81,90,4.62,RU,1675453615
232,bandarbeyla,9.4942,50.8122,23.63,69,92,8.06,SO,1675453615
233,metro,-5.1131,105.3067,24.06,93,100,1.13,ID,1675453615
234,denpasar,-8.65,115.2167,26.81,94,40,1.54,ID,1675453340
235,cherskiy,68.75,161.3,-28.17,100,99,0.51,RU,1675453616
236,chapais,49.7834,-74.8492,-33.12,83,100,6.54,CA,1675453616
237,marfino,55.7028,37.3822,0.09,92,100,4.0,RU,1675453616
238,severo-kurilsk,50.6789,156.125,-3.25,77,98,4.12,RU,1675453617
239,ossora,59.2353,163.0719,-9.06,95,100,3.89,RU,1675453617
240,tessalit,20.1986,1.0114,16.63,14,100,5.85,ML,1675453618
241,lang suan,9.9456,99.0785,24.69,88,10,2.86,TH,1675453618
242,ndele,8.4109,20.6473,26.3,16,14,2.2,CF,1675453618
243,la sarre,48.8002,-79.1996,-29.18,74,100,6.1,CA,1675453619
244,chapleau,47.8405,-83.4034,-24.95,53,40,4.63,CA,1675453619
245,port hardy,50.6996,-127.4199,8.1,76,75,8.23,CA,1675453619
246,eskisehir,39.7767,30.5206,-2.07,93,100,5.14,TR,1675453362
247,ampanihy,-24.7,44.75,23.44,85,84,2.02,MG,1675453620
248,sorland,67.667,12.6934,1.92,74,54,7.58,NO,1675453620
249,yueyang,29.3333,113.0919,6.52,73,100,2.73,CN,1675453621
250,hun,29.1268,15.9477,13.18,41,100,3.93,LY,1675453621
251,ponta do sol,32.6667,-17.1,16.35,52,61,3.08,PT,1675453621
252,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,57,75,3.0,RU,1675453563
253,dhidhdhoo,6.8833,73.1,24.96,85,100,4.66,MV,1675453623
254,fare,-16.7,-151.0167,27.37,76,28,7.28,PF,1675453626
255,alofi,-19.0595,-169.9187,22.94,100,100,2.57,NU,1675453628
256,cap malheureux,-19.9842,57.6142,25.26,83,12,1.79,MU,1675453632
257,porto novo,6.4965,2.6036,28.9,82,19,4.03,BJ,1675453591
258,waipawa,-41.4122,175.5153,20.87,77,5,3.44,NZ,1675453634
